s,name
100877359h,Müritz Hotel
1011881h,Burg Großfurra
1015042h,Burghaus Burgsahr
10332618h,Mosteiro de Flor da Rosa
103331335h,"32 Bond Street, Ross"
10343928h,Palácio Belmonte
10344021h,Palácio de Estói
10352192h,Convento das Chagas (Vila Viçosa)
10352195h,Convento dos Lóios
10352198h,Pousada de Condeixa-a-Nova
10352202h,Capela e Hospital da Santa Casa da Misericórdia de Ourém
10352206h,Pousada de Viseu
10352207h,Antigo Convento do Desagravo do Santíssimo Sacramento
10352211h,Convento de Nossa Senhora da Boa Esperança
10352218h,Solar da Rede
10352219h,Convento dos Lóios
104083353h,Commercial Hotel
104234251h,British Hotel
104830558h,Welsbach Building
1049027h,Jumeirah Emirates Towers Hotel
1049209h,The Venetian
1051604h,Four Queens
10524043h,Hilton Nairobi
10524047h,Hilton Stockholm Slussen
10526554h,Hotel Knaust
10526572h,Hotel Billingen
105554563h,Heliopolis Towers Hotel
105621651h,Oubangui Hotel
106090892h,"Overtoom 33, Amsterdam"
106192327h,Can Ferrandell
1063195h,Torre de Madrid
106393048h,Hampton by Hilton Bursa
1064873h,Excalibur Hotel and Casino
106996884h,Na můstku 10
107121457h,Brinker Collegiate Institute
107168152h,Manor House Hotel
107607598h,Hotel Dudley
108294146h,"Flour Mill at 129 Port avenue, Valencia"
108309815h,Can Cera
108516880h,Villa Balbi
108729880h,Kasteel Solhof
108865646h,Lamar Hotel
108865673h,Union Hotel
1092961h,Circus Circus Las Vegas
109451447h,Panquinkazerne
1096141h,Act Tower
110010967h,"SAii Lagoon Maldives, Curio Collection by Hilton"
110041692h,Central téléphonique Ségur
110147122h,Hilton Garden Inn London Heathrow Terminals 2 and 3
110251555h,Ostrovní 15
110407965h,Tours Odyssey
110660109h,Silk Road Hotel (Yazd)
110660372h,Dalan-e Behesht Hotel
110664670h,Khesht Abad Hotel
1106716h,"Kempinski Hotel Corvinus, Budapest"
110681137h,Zoerselhof
110735133h,Can Balaguer
1107391h,Sands Hotel and Casino
110831132h,Casa Gabino Bobo
111041461h,DoubleTree by Hilton Hannover Schweizerhof
111243216h,Hilton Singapore Orchard
111445383h,Chestnut Residence and Conference Centre
1116194h,The Leland Hotel
112111547h,Lepopirtti
112147576h,Torenhuis
112168936h,De Gouden Leeuw
1127749h,Hotel Kämp
113051152h,Putnam House
113163876h,St. James Hotel
113164074h,Windsor Hotel
113164146h,Palmetto House
113164237h,Clarendon Hotel
113171856h,Union House
11330330h,Hilton Nagoya
11330332h,Hilton Odawara Resort & Spa
11330335h,Hilton Tokyo Bay
113564549h,Hôtel La Pérouse
1136654h,The D Las Vegas
1136841h,Fremont Hotel and Casino
11415297h,JR Gate Tower
114289194h,Grand Hôtel G. Scheers
1143174h,Ritz-Carlton Toronto
1147483h,Sahara Las Vegas
115282741h,Nedermolen
116215655h,Hotel Antonio Perez
11700542h,Prince George Hotel
1189944h,Hotel Porta Fira
1200583h,Desert Inn
12020416h,Hotel Paříž
12072758h,Westin Book Cadillac Hotel
1237113h,Convento de Santa Maria do Bouro
12495h,Burj Khalifa
1281171h,Trump Hotel Las Vegas
1304383h,Waldorf Astoria Las Vegas
13049756h,Canfranc-Estación
1309059h,Wynn Las Vegas
13103085h,Hôtel de Paris
1324543h,El Rancho Hotel & Motel
1340132h,Encore
1340365h,Westgate Las Vegas Resort & Casino
1342565h,Planet Hollywood Resort & Casino
1347033h,Dunes
13529145h,"The Biltmore Mayfair, LXR Hotels & Resorts"
13529180h,Hilton London Hyde Park
1360313h,Treasure Island Hotel and Casino
1368043h,Mandalay Bay
1368798h,SEG Plaza
1401439h,Schüttkasten Geras
1412478h,"The Waldorf Hilton, London"
1426968h,Flamingo Las Vegas
1429071h,New York-New York Hotel and Casino
1430318h,Rossiya Hotel
1436845h,Cosmopolitan of Las Vegas
145361h,Gezirah Palace
1457875h,Villa Crespi
14683065h,"333 Battery Street, San Francisco,"
14689609h,Jackson Hotel
14693298h,Magnolia Hotel
14705265h,Resorts World Las Vegas
14753688h,"Casa Alberola Alicante, Curio Collection by Hilton"
1481002h,The Ritz London
14954702h,107 Piccadilly
1504641h,Kaufhaus Jonaß
15068974h,Zein-o-Din Caravanserai
1514587h,The Palazzo
15228738h,InterContinental Budapest
1535018h,Golden Nugget Las Vegas Hotel & Casino
1535845h,Riviera Hotel and Casino
1541365h,Renaissance Center
15640601h,Palacio del Marqués de Velada
1580067h,Harrah's Las Vegas
1585008h,Hard Rock Hotel and Casino
15909474h,Hengshan Picardie Hotel
15923583h,Conrad Hong Kong
15978898h,Berry Head House
16256099h,The Caledonian
1630814h,Hotel Weiss Kreuz
1630833h,"Hotel Berlin, Berlin"
1630837h,Hotel Bodenhaus
1630911h,Hilton Warsaw City
16318627h,Abeno Harukas
1637090h,"South Point Hotel, Casino & Spa"
16528268h,Aquarium et Musée de la Mer de Dinard
16621592h,Villa Torretta
167870h,Boardwalk Hotel and Casino
1682221h,Dagebüll lighthouse
16833188h,Lloyd-Bahnhof
16843761h,Hilton Diagonal Mar Barcelona
168575h,CTF Finance Centre
16890775h,Crown Sydney
16949846h,B&O Railroad Headquarters Building
16995460h,Wyndham Springfield City Centre
17043498h,Viciebsk
17183802h,"Castle Hotel, Ruthin"
17226268h,Hilton Tokyo
17229982h,Hilton Fukuoka Sea Hawk
17390148h,Citadel of Cascais
1743514h,Kirkland Hotel
17444603h,Hilton Frankfurt Airport
17444624h,Hilton Garden Inn Frankfurt Airport
17444904h,DoubleTree by Hilton Hotel London - Docklands Riverside
17512898h,Arlington Hotel
17532427h,Stanley House
17533843h,Polebarn House
17534979h,5 and 7 High Street and Falcon Hotel Annexe
17544934h,Barton Seagrave Hall
17549646h,"2, 3 and 4, Regency Square"
17554574h,Fritton Old Hall
17557267h,11 Market End
17619057h,Agronomitalo
17793480h,Hilton Edinburgh Carlton
17834531h,1 Tower Knowe
17834546h,"Hawick, 1 Tower Dykeside"
17834566h,"Hawick, 3, 4 Tower Dykeside"
17835167h,2 Tower Dykeside
1795050h,Palace Station
18008489h,Torre del Remei
18112026h,DoubleTree by Hilton Hotel London - Chelsea
18286846h,Waldorf Astoria Amsterdam
18340195h,Hybernská 12
18509174h,Fayrouz Ressort
18509281h,Hilton Hurghada Resort
18534517h,Hilton London Syon Park
18536h,The Shard
18547h,Shanghai Tower
18712428h,Makkah Clock Royal Tower Hotel
1874734h,Hotel International Prague
18760038h,Munkkiniemi education center
1879918h,Löwenburger Hof
18813051h,Hilton Rotterdam
189476h,Abraj Al Bait
19307691h,Hilton Garden Inn London Heathrow Airport
19348190h,"25, place Dauphine"
19362430h,Gasthof Krone
1943482h,Hilton Molino Stucky Venice
19513101h,Hilton Manchester Deansgate
19564041h,Hedemora stadshotell
19817552h,Delta Toronto Hotel
19864040h,Ambassador Hotel
19962146h,CloudNo7
20046383h,Hilton Bonn
20075891h,Hilton Kyiv
202599h,Stardust Resort and Casino
2048307h,Palms Casino Resort
20650664h,La Clef Louvre
20828319h,Villa Santana
20830632h,Bluebeard's Castle
2110681h,Prinzenpalais
2135814h,Hilton Amsterdam
21402642h,18 Gramercy Park
